Expense Code,Expense Amount (SAR),Month,Expense Quantity,Government Entity
21043,1.97,2/1/2018,10,Ministry of Education
21043,1.97,5/1/2018,35,Ministry of Education
21043,1.97,9/1/2017,40,Ministry of Education
21060,1.01,5/1/2017,1104,Ministry of Education
21060,1.01,4/1/2017,552,Ministry of Education
21060,1.01,4/1/2018,2208,Ministry of Education
21060,1.01,10/1/2017,184,Ministry of Education
21060,1.01,3/1/2018,2208,Ministry of Education
21060,1.01,12/1/2017,368,Ministry of Education
21060,1.01,6/1/2017,1840,Ministry of Education
21065,9.57,5/1/2017,200,Ministry of Education
21065,9.57,3/1/2018,700,Ministry of Education
21083,2.65,6/1/2017,3000,Ministry of Education
21083,2.65,10/1/2017,900,Ministry of Education
21083,2.65,3/1/2018,2700,Ministry of Education
21088,6.56,7/1/2017,33,Ministry of Education
21088,6.56,2/1/2018,154,Ministry of Education
21088,6.56,9/1/2017,77,Ministry of Education
21089,5.26,8/1/2017,20,Ministry of Education
21089,5.26,7/1/2017,6,Ministry of Education
21089,5.26,11/1/2017,28,Ministry of Education
21089,5.26,1/1/2018,20,Ministry of Education
21089,5.26,2/1/2018,18,Ministry of Education
21089,5.26,5/1/2018,42,Ministry of Education
21089,5.26,9/1/2017,12,Ministry of Education
21099,2.06,8/1/2017,9015,Ministry of Education
21099,2.06,7/1/2017,4808,Ministry of Education
21099,2.06,4/1/2017,4808,Ministry of Education
21099,2.06,6/1/2017,2404,Ministry of Education
21099,2.06,5/1/2017,3005,Ministry of Education
21099,2.06,11/1/2017,601,Ministry of Education
21099,2.06,1/1/2018,3606,Ministry of Education
21099,2.06,2/1/2018,1803,Ministry of Education
21099,2.06,4/1/2018,601,Ministry of Education
21099,2.06,10/1/2017,1202,Ministry of Education
21099,2.06,12/1/2017,2404,Ministry of Education
21099,2.06,3/1/2018,3606,Ministry of Education
21099,2.06,5/1/2018,12621,Ministry of Education
21099,2.06,9/1/2017,3606,Ministry of Education
21100,8.08,9/1/2017,3178,Ministry of Education
21100,8.08,7/1/2017,454,Ministry of Education
21100,8.08,2/1/2018,681,Ministry of Education
21104,7.07,6/1/2017,225,Ministry of Education
21104,7.07,12/1/2017,675,Ministry of Education
21104,7.07,4/1/2017,525,Ministry of Education
21104,7.07,5/1/2017,150,Ministry of Education
21104,7.07,10/1/2017,225,Ministry of Education
21104,7.07,3/1/2018,75,Ministry of Education
21104,7.07,4/1/2018,250,Ministry of Education
21105,2.42,7/1/2017,198,Ministry of Education
21105,2.42,11/1/2017,495,Ministry of Education
21105,2.42,2/1/2018,99,Ministry of Education
21105,2.42,8/1/2017,198,Ministry of Education
21105,2.42,1/1/2018,594,Ministry of Education
21105,2.42,5/1/2018,198,Ministry of Education
21105,2.42,9/1/2017,264,Ministry of Education
21106,6.33,4/1/2017,655,Ministry of Education
21106,6.33,5/1/2017,1965,Ministry of Education
21106,6.33,6/1/2017,1834,Ministry of Education
21106,6.33,12/1/2017,3537,Ministry of Education
21106,6.33,10/1/2017,1179,Ministry of Education
21106,6.33,3/1/2018,2620,Ministry of Education
21106,6.33,4/1/2018,393,Ministry of Education
21107,6.98,10/1/2017,112,Ministry of Education
21107,6.98,6/1/2017,28,Ministry of Education
21107,6.98,12/1/2017,336,Ministry of Education
21107,6.98,4/1/2017,112,Ministry of Education
21107,6.98,5/1/2017,98,Ministry of Education
21107,6.98,3/1/2018,112,Ministry of Education
21107,6.98,4/1/2018,126,Ministry of Education
21110,7.32,6/1/2017,1206,Ministry of Energy
21110,7.32,8/1/2017,2814,Ministry of Energy
21110,7.32,12/1/2017,1206,Ministry of Energy
21110,7.32,9/1/2017,3216,Ministry of Energy
21110,7.32,11/1/2017,513,Ministry of Education
21110,7.32,8/1/2017,513,Ministry of Education
21110,7.32,1/1/2018,171,Ministry of Education
21110,7.32,2/1/2018,513,Ministry of Education
21110,7.32,7/1/2017,513,Ministry of Education
21110,7.32,5/1/2018,1026,Ministry of Education
21110,7.32,9/1/2017,114,Ministry of Education
21121,10.88,6/1/2017,74,Ministry of Education
21121,10.88,4/1/2017,259,Ministry of Education
21121,10.88,11/1/2017,148,Ministry of Education
21121,10.88,7/1/2017,259,Ministry of Education
21121,10.88,5/1/2017,259,Ministry of Education
21121,10.88,8/1/2017,370,Ministry of Education
21121,10.88,1/1/2018,259,Ministry of Education
21121,10.88,2/1/2018,333,Ministry of Education
21121,10.88,4/1/2018,592,Ministry of Education
21121,10.88,10/1/2017,148,Ministry of Education
21121,10.88,12/1/2017,111,Ministry of Education
21121,10.88,3/1/2018,185,Ministry of Education
21121,10.88,5/1/2018,333,Ministry of Education
21121,10.88,9/1/2017,74,Ministry of Education
21123,2.32,8/1/2017,555,Ministry of Education
21123,2.32,1/1/2018,370,Ministry of Education
21123,2.32,7/1/2017,185,Ministry of Education
21123,2.32,11/1/2017,74,Ministry of Education
21123,2.32,2/1/2018,999,Ministry of Education
21123,2.32,9/1/2017,666,Ministry of Education
21123,2.32,5/1/2018,370,Ministry of Education
21139,1.49,11/1/2017,30,Ministry of Education
21139,1.49,7/1/2017,5,Ministry of Education
21139,1.49,9/1/2017,5,Ministry of Education
21139,1.49,8/1/2017,120,Ministry of Education
21139,1.49,2/1/2018,45,Ministry of Education
21139,1.49,1/1/2018,75,Ministry of Education
21139,1.49,5/1/2018,100,Ministry of Education
21145,2.92,11/1/2017,54,Ministry of Education
21145,2.92,7/1/2017,216,Ministry of Education
21145,2.92,9/1/2017,180,Ministry of Education
21145,2.92,8/1/2017,144,Ministry of Education
21145,2.92,2/1/2018,378,Ministry of Education
21145,2.92,1/1/2018,162,Ministry of Education
21145,2.92,5/1/2018,162,Ministry of Education
21194,2.73,7/1/2017,714,Ministry of Education
21194,2.73,9/1/2017,816,Ministry of Education
21194,2.73,2/1/2018,102,Ministry of Education
21238,0.34,7/1/2017,336,Ministry of Education
21238,0.34,11/1/2017,240,Ministry of Education
21238,0.34,2/1/2018,96,Ministry of Education
21238,0.34,8/1/2017,xxx,Ministry of Education
21238,0.34,1/1/2018,64,Ministry of Education
21238,0.34,9/1/2017,240,Ministry of Education
21238,0.34,5/1/2018,48,Ministry of Education
21313,7.8,7/1/2017,250,Ministry of Education
21370,7.94,7/1/2017,11284,Ministry of Education
21370,7.94,1/1/2018,14508,Ministry of Education
21370,7.94,4/1/2017,632,Ministry of Energy
21370,7.94,5/1/2017,474,Ministry of Energy
21370,7.94,4/1/2018,948,Ministry of Energy
21370,7.94,12/1/2017,79,Ministry of Energy
21412,4.03,8/1/2017,768,Ministry of Education
21412,4.03,1/1/2018,128,Ministry of Education
21412,4.03,7/1/2017,2048,Ministry of Education
21412,4.03,11/1/2017,1024,Ministry of Education
21412,4.03,2/1/2018,256,Ministry of Education
21412,4.03,5/1/2018,2688,Ministry of Education
21412,4.03,9/1/2017,1280,Ministry of Education
21418,2.96,5/1/2017,1002,Ministry of Education
21418,2.96,6/1/2017,3006,Ministry of Education
21418,2.96,4/1/2017,2338,Ministry of Education
21418,2.96,4/1/2018,3507,Ministry of Education
21418,2.96,10/1/2017,1503,Ministry of Education
21418,2.96,3/1/2018,501,Ministry of Education
21418,2.96,12/1/2017,3006,Ministry of Education
21420,9.24,8/1/2017,58,Ministry of Education
21420,9.24,9/1/2017,261,Ministry of Education
21425,5.31,6/1/2017,6000,Ministry of Education
21425,5.31,10/1/2017,4000,Ministry of Education
21425,5.31,3/1/2018,3200,Ministry of Education
21427,4.51,8/1/2017,161,Ministry of Education
21427,4.51,5/1/2017,92,Ministry of Education
21427,4.51,7/1/2017,552,Ministry of Education
21427,4.51,6/1/2017,207,Ministry of Education
21427,4.51,4/1/2017,230,Ministry of Education
21427,4.51,11/1/2017,138,Ministry of Education
21427,4.51,1/1/2018,552,Ministry of Education
21427,4.51,2/1/2018,115,Ministry of Education
21427,4.51,4/1/2018,184,Ministry of Education
21427,4.51,10/1/2017,138,Ministry of Education
21427,4.51,3/1/2018,207,Ministry of Education
21427,4.51,12/1/2017,184,Ministry of Education
21427,4.51,5/1/2018,621,Ministry of Education
21427,4.51,9/1/2017,207,Ministry of Education
21439,0.07,5/1/2017,504,Ministry of Education
21439,0.07,4/1/2017,448,Ministry of Education
21439,0.07,6/1/2017,448,Ministry of Education
21439,0.07,4/1/2018,112,Ministry of Education
21439,0.07,10/1/2017,1680,Ministry of Education
21439,0.07,3/1/2018,1680,Ministry of Education
21439,0.07,12/1/2017,448,Ministry of Education
21467,4.23,6/1/2017,90,Ministry of Education
21467,4.23,10/1/2017,45,Ministry of Education
21467,4.23,3/1/2018,135,Ministry of Education
21528,8.7,11/1/2017,504,Ministry of Education
21528,8.7,8/1/2017,432,Ministry of Education
21528,8.7,1/1/2018,216,Ministry of Education
21528,8.7,5/1/2018,36,Ministry of Education
21548,7.15,6/1/2017,750,Ministry of Education
21550,5.96,4/1/2017,11200,Ministry of Education
21550,5.96,4/1/2018,25200,Ministry of Education
21564,10.77,5/1/2017,1980,Ministry of Education
21564,10.77,3/1/2018,3465,Ministry of Education
21569,1.54,5/1/2017,204,Ministry of Education
21569,1.54,4/1/2017,136,Ministry of Education
21569,1.54,6/1/2017,255,Ministry of Education
21569,1.54,10/1/2017,170,Ministry of Education
21569,1.54,4/1/2018,34,Ministry of Education
21569,1.54,12/1/2017,68,Ministry of Education
21569,1.54,3/1/2018,272,Ministry of Education
21570,2.49,12/1/2017,500,Ministry of Education
21598,3.88,7/1/2017,2592,Ministry of Education
21598,3.88,11/1/2017,1728,Ministry of Education
21598,3.88,8/1/2017,2592,Ministry of Education
21598,3.88,1/1/2018,3888,Ministry of Education
21598,3.88,2/1/2018,1296,Ministry of Education
21598,3.88,5/1/2018,1512,Ministry of Education
21598,3.88,9/1/2017,1728,Ministry of Education
21604,4.45,6/1/2017,1920,Ministry of Education
21604,4.45,12/1/2017,960,Ministry of Education
21609,1.81,5/1/2017,1632,Ministry of Education
21609,1.81,3/1/2018,136,Ministry of Education
21618,5.87,6/1/2017,180,Ministry of Education
21620,5.35,7/1/2017,2952,Ministry of Education
21620,5.35,11/1/2017,984,Ministry of Education
21620,5.35,8/1/2017,1476,Ministry of Education
21620,5.35,1/1/2018,738,Ministry of Education
21620,5.35,2/1/2018,246,Ministry of Education
21620,5.35,5/1/2018,3690,Ministry of Education
21620,5.35,9/1/2017,2583,Ministry of Education
21626,7.47,5/1/2017,192,Ministry of Education
21641,7.38,6/1/2017,456,Ministry of Education
21641,7.38,12/1/2017,228,Ministry of Education
21641,7.38,4/1/2017,228,Ministry of Education
21641,7.38,5/1/2017,1824,Ministry of Education
21641,7.38,10/1/2017,684,Ministry of Education
21641,7.38,3/1/2018,3078,Ministry of Education
21641,7.38,4/1/2018,1140,Ministry of Education
21646,10.64,12/1/2017,10503,Ministry of Education
21646,10.64,4/1/2017,18672,Ministry of Education
21646,10.64,5/1/2017,8169,Ministry of Education
21646,10.64,4/1/2018,10503,Ministry of Education
21649,1.51,8/1/2017,11,Ministry of Education
21649,1.51,1/1/2018,55,Ministry of Education
21649,1.51,11/1/2017,176,Ministry of Education
21649,1.51,5/1/2018,110,Ministry of Education
21653,8.91,2/1/2018,12,Ministry of Education
21667,1.16,12/1/2017,450,Ministry of Education
21668,8.51,6/1/2017,2196,Ministry of Education
21668,8.51,10/1/2017,2562,Ministry of Education
21668,8.51,3/1/2018,549,Ministry of Education
21671,5.87,8/1/2017,300,Ministry of Education
21671,5.87,9/1/2017,1350,Ministry of Education
21673,8.66,4/1/2017,36,Ministry of Education
21673,8.66,10/1/2017,30,Ministry of Education
21673,8.66,7/1/2017,3,Ministry of Education
21673,8.66,1/1/2018,54,Ministry of Education
21673,8.66,4/1/2018,36,Ministry of Education
21694,8.91,8/1/2017,1630,Ministry of Education
21694,8.91,9/1/2017,2934,Ministry of Education
21697,3.73,9/1/2017,100,Ministry of Education
21718,9.69,2/1/2018,2400,Ministry of Education
21718,9.69,7/1/2017,1200,Ministry of Education
21718,9.69,9/1/2017,4000,Ministry of Education
21796,4.44,6/1/2017,420,Ministry of Education
21796,4.44,12/1/2017,1080,Ministry of Education
21857,5.28,7/1/2017,156,Ministry of Education
21857,5.28,11/1/2017,468,Ministry of Education
21857,5.28,2/1/2018,182,Ministry of Education
21857,5.28,8/1/2017,52,Ministry of Education
21857,5.28,1/1/2018,364,Ministry of Education
21857,5.28,5/1/2018,156,Ministry of Education
21857,5.28,9/1/2017,208,Ministry of Education
21858,3.43,5/1/2017,588,Ministry of Education
21858,3.43,11/1/2017,147,Ministry of Education
21858,3.43,2/1/2018,882,Ministry of Education
21858,3.43,5/1/2018,686,Ministry of Education
21858,3.43,3/1/2018,441,Ministry of Education
21859,10.78,7/1/2017,360,Ministry of Education
21859,10.78,8/1/2017,432,Ministry of Education
21859,10.78,1/1/2018,540,Ministry of Education
21859,10.78,11/1/2017,54,Ministry of Education
21859,10.78,2/1/2018,54,Ministry of Education
21859,10.78,5/1/2018,540,Ministry of Education
21859,10.78,9/1/2017,72,Ministry of Education
21885,0.43,8/1/2017,405,Ministry of Education
21885,0.43,12/1/2017,1350,Ministry of Education
21885,0.43,6/1/2017,270,Ministry of Education
21885,0.43,9/1/2017,360,Ministry of Education
21887,8.57,6/1/2017,3960,Ministry of Education
21887,8.57,8/1/2017,8800,Ministry of Education
21887,8.57,12/1/2017,10560,Ministry of Education
21887,8.57,9/1/2017,3080,Ministry of Education
21891,2.33,6/1/2017,3888,Ministry of Education
21891,2.33,12/1/2017,576,Ministry of Education
21909,2.76,6/1/2017,450,Ministry of Education
21909,2.76,10/1/2017,600,Ministry of Education
21909,2.76,3/1/2018,400,Ministry of Education
21911,9.01,12/1/2017,2100,Ministry of Education
21918,3.02,11/1/2017,2925,Ministry of Education
21918,3.02,2/1/2018,2730,Ministry of Education
21918,3.02,5/1/2017,1950,Ministry of Education
21918,3.02,3/1/2018,4680,Ministry of Education
21918,3.02,5/1/2018,390,Ministry of Education
21927,6.75,11/1/2017,3888,Ministry of Education
21927,6.75,5/1/2018,1944,Ministry of Education
21930,7.99,11/1/2017,3006,Ministry of Education
21930,7.99,8/1/2017,668,Ministry of Education
21930,7.99,2/1/2018,1002,Ministry of Education
21930,7.99,7/1/2017,334,Ministry of Education
21930,7.99,1/1/2018,1503,Ministry of Education
21930,7.99,5/1/2018,1002,Ministry of Education
21930,7.99,9/1/2017,835,Ministry of Education
21932,1.12,10/1/2017,600,Ministry of Education
21937,7.98,6/1/2017,1500,Ministry of Education
21937,7.98,12/1/2017,900,Ministry of Education
21938,7.84,6/1/2017,1000,Ministry of Education
21938,7.84,10/1/2017,24000,Ministry of Education
21938,7.84,4/1/2017,10000,Ministry of Education
21938,7.84,12/1/2017,8000,Ministry of Education
21938,7.84,5/1/2017,8000,Ministry of Education
21938,7.84,4/1/2018,8000,Ministry of Education
21938,7.84,3/1/2018,24000,Ministry of Education
21947,7.1,7/1/2017,400,Ministry of Education
21947,7.1,1/1/2018,750,Ministry of Education
21948,1.65,4/1/2017,4050,Ministry of Education
21948,1.65,12/1/2017,600,Ministry of Education
21948,1.65,5/1/2017,600,Ministry of Education
21948,1.65,4/1/2018,3150,Ministry of Education
21949,2.77,7/1/2017,2220,Ministry of Education
21949,2.77,11/1/2017,1184,Ministry of Education
21949,2.77,2/1/2018,1332,Ministry of Education
21949,2.77,8/1/2017,592,Ministry of Education
21949,2.77,1/1/2018,444,Ministry of Education
21949,2.77,9/1/2017,666,Ministry of Education
21949,2.77,5/1/2018,518,Ministry of Education
21950,1.84,7/1/2017,5400,Ministry of Education
21950,1.84,2/1/2018,6480,Ministry of Education
21950,1.84,9/1/2017,4320,Ministry of Education
21953,3.94,10/1/2017,500,Ministry of Education
21953,3.94,6/1/2017,300,Ministry of Education
21953,3.94,3/1/2018,450,Ministry of Education
21967,2.73,5/1/2017,378,Ministry of Education
21967,2.73,4/1/2017,252,Ministry of Education
21967,2.73,4/1/2018,420,Ministry of Education
21967,2.73,12/1/2017,882,Ministry of Education
21975,3.81,10/1/2017,150,Ministry of Education
22003,7.62,5/1/2017,7800,Ministry of Education
22003,7.62,2/1/2018,4550,Ministry of Education
22003,7.62,11/1/2017,5200,Ministry of Education
22003,7.62,3/1/2018,1300,Ministry of Education
22003,7.62,5/1/2018,3250,Ministry of Education
22006,8.37,2/1/2018,11984,Ministry of Education
22006,8.37,11/1/2017,10272,Ministry of Education
22006,8.37,5/1/2018,17976,Ministry of Education
22022,7.61,11/1/2017,360,Ministry of Education
22022,7.61,7/1/2017,54,Ministry of Education
22022,7.61,1/1/2018,54,Ministry of Education
22022,7.61,2/1/2018,324,Ministry of Education
22022,7.61,8/1/2017,36,Ministry of Education
22022,7.61,9/1/2017,180,Ministry of Education
22022,7.61,5/1/2018,324,Ministry of Education
22038,5.98,11/1/2017,918,Ministry of Education
22038,5.98,2/1/2018,102,Ministry of Education
22038,5.98,5/1/2018,238,Ministry of Education
22042,6.61,5/1/2017,64,Ministry of Education
22066,2.68,4/1/2017,2700,Ministry of Education
22066,2.68,6/1/2017,800,Ministry of Education
22066,2.68,10/1/2017,600,Ministry of Education
22066,2.68,5/1/2017,800,Ministry of Education
22066,2.68,4/1/2018,800,Ministry of Education
22066,2.68,12/1/2017,400,Ministry of Education
22066,2.68,3/1/2018,1600,Ministry of Education
22067,4.8,4/1/2017,12,Ministry of Education
22067,4.8,10/1/2017,126,Ministry of Education
22067,4.8,7/1/2017,48,Ministry of Education
22067,4.8,1/1/2018,48,Ministry of Education
22067,4.8,4/1/2018,90,Ministry of Education
22068,10.86,11/1/2017,363,Ministry of Education
22068,10.86,7/1/2017,2420,Ministry of Education
22068,10.86,8/1/2017,484,Ministry of Education
22068,10.86,1/1/2018,3267,Ministry of Education
22068,10.86,2/1/2018,1452,Ministry of Education
22068,10.86,5/1/2018,2904,Ministry of Education
22068,10.86,9/1/2017,2541,Ministry of Education
22089,7.94,4/1/2017,306,Ministry of Education
22089,7.94,5/1/2017,1224,Ministry of Education
22089,7.94,10/1/2017,153,Ministry of Education
22089,7.94,6/1/2017,153,Ministry of Education
22089,7.94,12/1/2017,765,Ministry of Education
22089,7.94,3/1/2018,510,Ministry of Education
22089,7.94,4/1/2018,816,Ministry of Education
22171,6.64,11/1/2017,114,Ministry of Education
22171,6.64,2/1/2018,912,Ministry of Education
22171,6.64,9/1/2017,171,Ministry of Education
22171,6.64,8/1/2017,342,Ministry of Education
22171,6.64,1/1/2018,57,Ministry of Education
22171,6.64,7/1/2017,114,Ministry of Education
22171,6.64,5/1/2018,114,Ministry of Education
22196,1.86,8/1/2017,1560,Ministry of Education
22196,1.86,9/1/2017,1248,Ministry of Education
22201,3.04,11/1/2017,109,Ministry of Education
22201,3.04,8/1/2017,218,Ministry of Education
22201,3.04,1/1/2018,327,Ministry of Education
22201,3.04,5/1/2018,327,Ministry of Education
22217,6.84,3/1/2018,328,Ministry of Education
22217,6.84,5/1/2017,492,Ministry of Education
22224,2.36,7/1/2017,228,Ministry of Education
22224,2.36,9/1/2017,456,Ministry of Education
22224,2.36,2/1/2018,171,Ministry of Education
22237,3.86,6/1/2017,25000,Ministry of Education
22237,3.86,12/1/2017,22500,Ministry of Education
22472,4.09,6/1/2017,90,Ministry of Education
22472,4.09,10/1/2017,360,Ministry of Education
22472,4.09,3/1/2018,60,Ministry of Education
22497,2.07,6/1/2017,120,Ministry of Education
22497,2.07,12/1/2017,840,Ministry of Education
22585,1.3,6/1/2017,1752,Ministry of Education
22585,1.3,8/1/2017,3504,Ministry of Education
22585,1.3,12/1/2017,2190,Ministry of Education
22585,1.3,9/1/2017,219,Ministry of Education
22587,2.4,4/1/2017,375,Ministry of Education
22587,2.4,7/1/2017,675,Ministry of Education
22587,2.4,10/1/2017,1350,Ministry of Education
22587,2.4,1/1/2018,1500,Ministry of Education
22587,2.4,4/1/2018,600,Ministry of Education
22633,3.26,6/1/2017,186,Ministry of Education
22633,3.26,10/1/2017,1116,Ministry of Education
22633,3.26,3/1/2018,124,Ministry of Education
22635,1.98,9/1/2017,864,Ministry of Education
22635,1.98,8/1/2017,1458,Ministry of Education
22645,2.67,2/1/2018,48,Ministry of Education
22737,2.38,6/1/2017,150,Ministry of Education
22737,2.38,12/1/2017,300,Ministry of Education
22762,1.12,8/1/2017,9000,Ministry of Education
22766,5.77,4/1/2017,1869,Ministry of Education
22766,5.77,4/1/2018,890,Ministry of Education
22806,8.72,6/1/2017,280,Ministry of Education
22806,8.72,12/1/2017,1400,Ministry of Education
22909,9.88,6/1/2017,720,Ministry of Education
22909,9.88,12/1/2017,360,Ministry of Education
22934,0.68,7/1/2017,384,Ministry of Education
22945,8.24,4/1/2017,756,Ministry of Education
22945,8.24,11/1/2017,42,Ministry of Education
22945,8.24,6/1/2017,84,Ministry of Education
22945,8.24,7/1/2017,882,Ministry of Education
22945,8.24,10/1/2017,504,Ministry of Education
22945,8.24,12/1/2017,294,Ministry of Education
22945,8.24,9/1/2017,378,Ministry of Education
22945,8.24,8/1/2017,378,Ministry of Education
22945,8.24,2/1/2018,378,Ministry of Education
22945,8.24,4/1/2018,756,Ministry of Education
22945,8.24,3/1/2018,756,Ministry of Education
22945,8.24,1/1/2018,336,Ministry of Education
22945,8.24,5/1/2018,672,Ministry of Education
22945,8.24,5/1/2017,252,Ministry of Education
22972,3.06,11/1/2017,10,Ministry of Education
22972,3.06,7/1/2017,30,Ministry of Education
22972,3.06,9/1/2017,300,Ministry of Education
22972,3.06,2/1/2018,180,Ministry of Education
22972,3.06,8/1/2017,180,Ministry of Education
22972,3.06,1/1/2018,200,Ministry of Education
22972,3.06,5/1/2018,180,Ministry of Education
23057,4.86,6/1/2017,2574,Ministry of Education
23057,4.86,8/1/2017,143,Ministry of Education
23057,4.86,12/1/2017,1716,Ministry of Education
23057,4.86,9/1/2017,3432,Ministry of Education
23061,9.78,6/1/2017,250,Ministry of Education
23061,9.78,5/1/2017,750,Ministry of Education
23061,9.78,4/1/2017,300,Ministry of Education
23061,9.78,4/1/2018,1350,Ministry of Education
23061,9.78,10/1/2017,400,Ministry of Education
23061,9.78,12/1/2017,350,Ministry of Education
23061,9.78,3/1/2018,1350,Ministry of Education
23063,2.7,11/1/2017,1245,Ministry of Education
23063,2.7,8/1/2017,747,Ministry of Education
23063,2.7,1/1/2018,1743,Ministry of Education
23063,2.7,5/1/2018,747,Ministry of Education
23079,7.42,4/1/2017,264,Ministry of Education
23079,7.42,7/1/2017,264,Ministry of Education
23079,7.42,1/1/2018,308,Ministry of Education
23079,7.42,4/1/2018,176,Ministry of Education
23079,7.42,10/1/2017,220,Ministry of Education
23089,7.29,5/1/2017,4500,Ministry of Education
23089,7.29,11/1/2017,12150,Ministry of Education
23089,7.29,2/1/2018,8100,Ministry of Education
23089,7.29,3/1/2018,2700,Ministry of Education
23089,7.29,5/1/2018,7200,Ministry of Education
23090,7.47,6/1/2017,424,Ministry of Education
23090,7.47,5/1/2017,477,Ministry of Education
23090,7.47,4/1/2017,636,Ministry of Education
23090,7.47,4/1/2018,477,Ministry of Education
23090,7.47,10/1/2017,159,Ministry of Education
23090,7.47,12/1/2017,212,Ministry of Education
23090,7.47,3/1/2018,1272,Ministry of Education
23091,7.4,6/1/2017,324,Ministry of Education
23091,7.4,12/1/2017,324,Ministry of Education
23095,4.31,6/1/2017,35000,Ministry of Education
23109,3.13,6/1/2017,472,Ministry of Education
23109,3.13,8/1/2017,1062,Ministry of Education
23109,3.13,12/1/2017,177,Ministry of Education
23109,3.13,9/1/2017,118,Ministry of Education
23131,9.52,12/1/2017,320,Ministry of Education
23136,4.86,4/1/2017,576,Ministry of Education
23136,4.86,4/1/2018,216,Ministry of Education
23156,9.26,6/1/2017,88,Ministry of Education
23156,9.26,12/1/2017,231,Ministry of Education
23161,9.6,6/1/2017,204,Ministry of Education
23161,9.6,8/1/2017,68,Ministry of Education
23161,9.6,12/1/2017,204,Ministry of Education
23161,9.6,9/1/2017,408,Ministry of Education
23166,8.89,5/1/2017,15000,Ministry of Education
23166,8.89,3/1/2018,22500,Ministry of Education
23190,8.45,4/1/2017,1022,Ministry of Education
23190,8.45,6/1/2017,730,Ministry of Education
23190,8.45,5/1/2017,292,Ministry of Education
23190,8.45,4/1/2018,1314,Ministry of Education
23190,8.45,10/1/2017,438,Ministry of Education
23190,8.45,12/1/2017,219,Ministry of Education
23190,8.45,3/1/2018,438,Ministry of Education
23191,5.7,11/1/2017,324,Ministry of Education
23191,5.7,5/1/2018,36,Ministry of Education
23192,1.29,6/1/2017,96,Ministry of Education
23192,1.29,10/1/2017,64,Ministry of Education
23192,1.29,3/1/2018,128,Ministry of Education
23193,7.78,6/1/2017,288,Ministry of Education
23193,7.78,8/1/2017,240,Ministry of Education
23193,7.78,12/1/2017,72,Ministry of Education
23193,7.78,9/1/2017,72,Ministry of Education
23201,3.75,11/1/2017,7200,Ministry of Education
23201,3.75,7/1/2017,480,Ministry of Education
23201,3.75,8/1/2017,960,Ministry of Education
23201,3.75,1/1/2018,2160,Ministry of Education
23201,3.75,2/1/2018,2400,Ministry of Education
23201,3.75,5/1/2018,4800,Ministry of Education
23201,3.75,9/1/2017,2160,Ministry of Education
23205,6.03,4/1/2017,300,Ministry of Education
23205,6.03,4/1/2018,45,Ministry of Education
23214,4.28,7/1/2017,5280,Ministry of Education
23214,4.28,2/1/2018,528,Ministry of Education
23214,4.28,9/1/2017,704,Ministry of Education
23215,3.18,11/1/2017,108,Ministry of Education
23215,3.18,7/1/2017,162,Ministry of Education
23215,3.18,8/1/2017,54,Ministry of Education
23215,3.18,1/1/2018,540,Ministry of Education
23215,3.18,2/1/2018,432,Ministry of Education
23215,3.18,5/1/2018,540,Ministry of Education
23215,3.18,9/1/2017,216,Ministry of Education
23225,3.63,4/1/2017,60000,Ministry of Education
23225,3.63,4/1/2018,50000,Ministry of Education
23228,3,8/1/2017,1125,Ministry of Education
23228,3,11/1/2017,600,Ministry of Education
23228,3,2/1/2018,675,Ministry of Education
23228,3,7/1/2017,600,Ministry of Education
23228,3,1/1/2018,675,Ministry of Education
23228,3,5/1/2018,450,Ministry of Education
23228,3,9/1/2017,600,Ministry of Education
23229,2.75,2/1/2018,216,Ministry of Education
23229,2.75,7/1/2017,216,Ministry of Education
23229,2.75,9/1/2017,192,Ministry of Education
23230,8.17,4/1/2017,1932,Ministry of Education
23230,8.17,6/1/2017,552,Ministry of Education
23230,8.17,5/1/2017,1472,Ministry of Education
23230,8.17,12/1/2017,1380,Ministry of Education
23230,8.17,10/1/2017,1656,Ministry of Education
23230,8.17,3/1/2018,552,Ministry of Education
23230,8.17,4/1/2018,276,Ministry of Education
23231,9.8,4/1/2017,666,Ministry of Education
23231,9.8,6/1/2017,222,Ministry of Education
23231,9.8,5/1/2017,3330,Ministry of Education
23231,9.8,12/1/2017,999,Ministry of Education
23231,9.8,10/1/2017,333,Ministry of Education
23231,9.8,3/1/2018,555,Ministry of Education
23231,9.8,4/1/2018,999,Ministry of Education
23232,3.16,8/1/2017,4000,Ministry of Education
23232,3.16,11/1/2017,12000,Ministry of Education
23232,3.16,1/1/2018,21000,Ministry of Education
23232,3.16,5/1/2018,9000,Ministry of Education
23237,4.45,10/1/2017,120,Ministry of Education
23237,4.45,3/1/2018,60,Ministry of Education
23237,4.45,6/1/2017,45,Ministry of Education
23246,7.04,5/1/2017,120,Ministry of Education
23246,7.04,4/1/2017,216,Ministry of Education
23246,7.04,4/1/2018,120,Ministry of Education
23246,7.04,12/1/2017,56,Ministry of Education
23250,2.84,5/1/2017,38,Ministry of Education
23250,2.84,4/1/2017,1026,Ministry of Education
23250,2.84,4/1/2018,1140,Ministry of Education
23250,2.84,10/1/2017,76,Ministry of Education
23250,2.84,12/1/2017,304,Ministry of Education
23250,2.84,3/1/2018,304,Ministry of Education
23250,2.84,6/1/2017,532,Ministry of Education
