"Expense Code,Month,Expense Quantity,Government Entity",
"20749,43221,1584,Ministry of Energy",
"20749,42979,3465,Ministry of Energy",
"20749,42887,1137,Ministry of Energy",
"20749,43070,9396,Ministry of Energy",
"20749,43132,280,Ministry of Energy",
"20749,43160,1060,Ministry of Energy",
"20749,42826,2090,Ministry of Energy",
"20749,43191,5016,Ministry of Energy",
"20749,42887,324,Ministry of Housing",
"20749,42826,216,Ministry of Housing",
"20749,42856,1080,Ministry of Housing",
"20749,43191,1080,Ministry of Housing",
"20749,43009,1728,Ministry of Housing",
"20749,43070,1080,Ministry of Housing",
"20749,43160,2592,Ministry of Housing",
"20750,42948,312,Ministry of Energy",
"20750,43101,702,Ministry of Energy",
"20750,43040,260,Ministry of Energy",
"20750,43221,780,Ministry of Energy",
"20752,42887,352,Ministry of Energy",
"20752,43070,528,Ministry of Energy",
"20752,42856,132,Ministry of Energy",
"20752,42826,132,Ministry of Energy",
"20752,43132,220,Ministry of Energy",
"20752,42948,154,Ministry of Energy",
"20752,43101,198,Ministry of Energy",
"20752,43009,88,Ministry of Energy",
"20752,43040,176,Ministry of Energy",
"20752,42917,110,Ministry of Energy",
"20752,43191,264,Ministry of Energy",
"20752,43160,132,Ministry of Energy",
"20752,43221,88,Ministry of Energy",
"20752,42979,44,Ministry of Energy",
"20755,42948,243,Ministry of Energy",
"20755,43101,216,Ministry of Energy",
"20755,43040,162,Ministry of Energy",
"20755,43221,810,Ministry of Energy",
"20757,42948,4380,Ministry of Health",
"20757,43101,6570,Ministry of Health",
"20757,43040,3504,Ministry of Health",
"20757,43221,8760,Ministry of Health",
"20758,43101,300,Ministry of Health",
"20758,42917,200,Ministry of Health",
"20759,42887,1030,Ministry of Health",
"20759,43009,618,Ministry of Health",
"20759,43160,412,Ministry of Health",
"20760,42887,2106,Ministry of Energy",
"20760,43070,1170,Ministry of Energy",
"20760,42856,1170,Ministry of Energy",
"20760,42826,1872,Ministry of Energy",
"20760,43009,234,Ministry of Energy",
"20760,43191,1404,Ministry of Energy",
"20760,43160,351,Ministry of Energy",
"20761,43070,672,Ministry of Health",
"20761,43132,96,Ministry of Health",
"20761,43160,1296,Ministry of Health",
"20761,42948,1032,Ministry of Health",
"20761,42887,492,Ministry of Health",
"20761,42979,1107,Ministry of Health",
"20761,42856,600,Ministry of Health",
"20761,42826,200,Ministry of Health",
"20761,43101,180,Ministry of Health",
"20761,43009,200,Ministry of Health",
"20761,43040,300,Ministry of Health",
"20761,42917,40,Ministry of Health",
"20761,43191,40,Ministry of Health",
"20761,43221,200,Ministry of Health",
"20763,42856,2700,Ministry of Energy",
"20763,43160,1500,Ministry of Energy",
"20764,42887,1425,Ministry of Energy",
"20764,43070,2375,Ministry of Energy",
"20764,42948,4750,Ministry of Energy",
"20764,42979,4275,Ministry of Energy",
"20766,43132,70,Ministry of Energy",
"20766,42948,196,Ministry of Energy",
"20766,43101,84,Ministry of Energy",
"20766,43040,84,Ministry of Energy",
"20766,42917,168,Ministry of Energy",
"20766,43221,56,Ministry of Energy",
"20766,42979,336,Ministry of Energy",
"20767,42856,42,Ministry of Energy",
"20770,42979,2256,Ministry of Energy",
"20772,42826,4,Ministry of Health",
"20772,43009,40,Ministry of Health",
"20772,43191,12,Ministry of Health",
"20775,42826,36,Ministry of Health",
"20775,43009,48,Ministry of Health",
"20775,43191,96,Ministry of Health",
"20797,42917,30,Ministry of Energy",
"20797,42979,90,Ministry of Energy",
"20797,43132,20,Ministry of Energy",
"20801,42887,204,Ministry of Education",
"20801,43009,136,Ministry of Education",
"20801,43160,170,Ministry of Education",
"20818,43040,3348,Ministry of Energy",
"20818,42948,4464,Ministry of Energy",
"20818,43101,1116,Ministry of Energy",
"20818,43221,6696,Ministry of Energy",
"20819,42856,3348,Ministry of Health",
"20819,42826,496,Ministry of Health",
"20819,43191,248,Ministry of Health",
"20819,43009,868,Ministry of Health",
"20819,43160,496,Ministry of Health",
"20819,43070,868,Ministry of Health",
"20819,42887,744,Ministry of Health",
"20820,43101,9004,Ministry of Health",
"20820,42826,20259,Ministry of Health",
"20820,42917,22510,Ministry of Health",
"20820,43191,40518,Ministry of Health",
"20820,43009,13506,Ministry of Health",
"20820,43040,18410,Ministry of Education",
"20820,42917,44184,Ministry of Education",
"20820,42948,5523,Ministry of Education",
"20820,43101,11046,Ministry of Education",
"20820,43132,7364,Ministry of Education",
"20820,43221,14728,Ministry of Education",
"20820,42979,22092,Ministry of Education",
"20821,42948,628,Ministry of Energy",
"20821,43101,314,Ministry of Energy",
"20821,42917,1413,Ministry of Energy",
"20821,43040,157,Ministry of Energy",
"20821,43132,1884,Ministry of Energy",
"20821,43221,4710,Ministry of Energy",
"20821,42979,314,Ministry of Energy",
"20821,42856,1395,Ministry of Education",
"20821,43160,1550,Ministry of Education",
"20822,42856,5574,Ministry of Energy",
"20822,42826,7432,Ministry of Energy",
"20822,43191,25083,Ministry of Energy",
"20822,43009,13935,Ministry of Energy",
"20822,43160,929,Ministry of Energy",
"20822,43070,9290,Ministry of Energy",
"20822,42887,8361,Ministry of Energy",
"20823,43009,60000,Ministry of Health",
"20825,42948,11304,Ministry of Energy",
"20825,43101,6594,Ministry of Energy",
"20825,43040,8478,Ministry of Energy",
"20825,42917,12717,Ministry of Energy",
"20825,43132,3768,Ministry of Energy",
"20825,43221,3768,Ministry of Energy",
"20825,42979,9420,Ministry of Energy",
"20826,42887,14325,Ministry of Energy",
"20826,43132,16032,Ministry of Energy",
"20826,43160,3270,Ministry of Energy",
"20826,43101,1152,Ministry of Energy",
"20826,43040,2244,Ministry of Energy",
"20826,43221,3366,Ministry of Energy",
"20826,42979,1820,Ministry of Energy",
"20826,43070,608,Ministry of Energy",
"20826,42856,1568,Ministry of Energy",
"20826,42917,1944,Ministry of Energy",
"20826,43009,1350,Ministry of Energy",
"20826,42826,861,Ministry of Energy",
"20826,43191,328,Ministry of Energy",
"20826,42948,513,Ministry of Energy",
"20827,42856,576,Ministry of Energy",
"20827,42826,1728,Ministry of Energy",
"20827,43191,672,Ministry of Energy",
"20827,43009,1728,Ministry of Energy",
"20827,43160,672,Ministry of Energy",
"20827,43070,768,Ministry of Energy",
"20827,42887,768,Ministry of Energy",
"20828,42856,240,Ministry of Health",
"20828,42826,2400,Ministry of Health",
"20828,43191,1200,Ministry of Health",
"20828,43009,400,Ministry of Health",
"20828,43160,960,Ministry of Health",
"20828,43070,320,Ministry of Health",
"20828,42887,1200,Ministry of Health",
"20829,43101,1896,Ministry of Health",
"20829,42917,237,Ministry of Health",
"20830,42948,525,Ministry of Health",
"20830,42979,3675,Ministry of Health",
"20831,42948,40,Ministry of Energy",
"20831,43070,180,Ministry of Energy",
"20831,42887,240,Ministry of Energy",
"20831,42979,210,Ministry of Energy",
"20832,42856,240,Ministry of Energy",
"20832,43160,180,Ministry of Energy",
"20834,42948,48,Ministry of Energy",
"20834,43101,8,Ministry of Energy",
"20834,43040,96,Ministry of Energy",
"20834,43221,8,Ministry of Energy",
"20835,42887,200,Ministry of Energy",
"20836,43101,1605,Ministry of Energy",
"20836,42917,5350,Ministry of Energy",
"20836,42826,4280,Ministry of Energy",
"20836,43191,6420,Ministry of Energy",
"20836,43009,1070,Ministry of Energy",
"20837,42948,5096,Ministry of Energy",
"20837,43101,728,Ministry of Energy",
"20837,42917,7280,Ministry of Energy",
"20837,43040,2184,Ministry of Energy",
"20837,43132,728,Ministry of Energy",
"20837,43221,3640,Ministry of Energy",
"20837,42979,5460,Ministry of Energy",
"20838,42856,6544,Ministry of Energy",
"20838,42826,3272,Ministry of Energy",
"20838,43191,1636,Ministry of Energy",
"20838,43009,2454,Ministry of Energy",
"20838,43160,5726,Ministry of Energy",
"20838,43070,818,Ministry of Energy",
"20838,42887,8589,Ministry of Energy",
"20839,43009,408,Ministry of Energy",
"20839,43160,306,Ministry of Energy",
"20839,42887,612,Ministry of Energy",
"20840,43009,3258,Ministry of Energy",
"20840,43070,3000,Ministry of Energy",
"20840,42917,726,Ministry of Energy",
"20840,42887,1648,Ministry of Energy",
"20840,43191,1440,Ministry of Energy",
"20840,43132,168,Ministry of Energy",
"20840,42826,1296,Ministry of Energy",
"20840,42979,402,Ministry of Energy",
"20840,43160,44,Ministry of Energy",
"20840,43221,252,Ministry of Energy",
"20840,43040,68,Ministry of Energy",
"20840,42856,216,Ministry of Energy",
"20840,42948,96,Ministry of Energy",
"20841,42948,3752,Ministry of Energy",
"20841,43101,4824,Ministry of Energy",
"20841,42917,536,Ministry of Energy",
"20841,43040,268,Ministry of Energy",
"20841,43132,2412,Ministry of Energy",
"20841,43221,4824,Ministry of Energy",
"20841,42979,2680,Ministry of Energy",
"20843,42948,5274,Ministry of Health",
"20843,43070,879,Ministry of Health",
"20843,42887,1758,Ministry of Health",
"20843,42979,1465,Ministry of Health",
"20844,42948,2754,Ministry of Health",
"20844,43101,4590,Ministry of Health",
"20844,42917,9180,Ministry of Health",
"20844,43040,612,Ministry of Health",
"20844,43132,612,Ministry of Health",
"20844,43221,4284,Ministry of Health",
"20844,42979,6120,Ministry of Health",
"20846,42856,180,Ministry of Energy",
"20846,42826,252,Ministry of Energy",
"20846,43191,288,Ministry of Energy",
"20846,43009,168,Ministry of Energy",
"20846,43160,360,Ministry of Energy",
"20846,43070,120,Ministry of Energy",
"20846,42887,324,Ministry of Energy",
"20850,42887,4920,Ministry of Health",
"20850,42856,5904,Ministry of Health",
"20850,43009,7872,Ministry of Health",
"20850,42826,7872,Ministry of Health",
"20850,43070,10332,Ministry of Health",
"20850,43191,14760,Ministry of Health",
"20850,43160,4920,Ministry of Health",
"20850,43132,420,Ministry of Education",
"20850,42917,140,Ministry of Education",
"20850,42979,700,Ministry of Education",
"20852,43070,105,Ministry of Energy",
"20852,42887,360,Ministry of Energy",
"20853,42887,44991,Ministry of Education",
"20855,43040,10368,Ministry of Energy",
"20855,42948,3456,Ministry of Energy",
"20855,43101,5184,Ministry of Energy",
"20855,43221,12960,Ministry of Energy",
"20857,42856,486,Ministry of Energy",
"20857,43160,648,Ministry of Energy",
"20858,43132,702,Ministry of Energy",
"20858,42917,702,Ministry of Energy",
"20858,42979,2340,Ministry of Energy",
"20860,42917,66,Ministry of Energy",
"20860,43101,660,Ministry of Energy",
"20861,43070,75,Ministry of Energy",
"20862,42887,350,Ministry of Health",
"20864,42826,1590,Ministry of Health",
"20864,42856,6360,Ministry of Health",
"20864,43191,14310,Ministry of Health",
"20864,43009,6360,Ministry of Health",
"20864,43160,2120,Ministry of Health",
"20864,43070,15900,Ministry of Health",
"20864,42887,1060,Ministry of Health",
"20865,42979,378,Ministry of Housing",
"20866,42948,378,Ministry of Housing",
"20866,42979,588,Ministry of Housing",
"20868,42917,1710,Ministry of Health",
"20868,43132,2850,Ministry of Health",
"20868,42979,1995,Ministry of Health",
"20869,42917,29,Ministry of Education",
"20869,43101,348,Ministry of Education",
"20870,42887,261,Ministry of Education",
"20870,42948,232,Ministry of Education",
"20870,43070,116,Ministry of Education",
"20870,42979,696,Ministry of Education",
"20871,43009,62,Ministry of Energy",
"20871,42887,496,Ministry of Energy",
"20871,42856,620,Ministry of Energy",
"20871,42826,155,Ministry of Energy",
"20871,43191,465,Ministry of Energy",
"20871,43070,620,Ministry of Energy",
"20871,43160,217,Ministry of Energy",
"20873,42856,72564,Ministry of Education",
"20873,43160,290256,Ministry of Education",
"20875,43009,1200,Ministry of Energy",
"20876,42856,2700,Ministry of Education",
"20877,43040,2500,Ministry of Education",
"20877,42917,3375,Ministry of Education",
"20877,42948,3000,Ministry of Education",
"20877,43101,875,Ministry of Education",
"20877,43132,1750,Ministry of Education",
"20877,43221,2500,Ministry of Education",
"20877,42979,2250,Ministry of Education",
"20879,42826,250,Ministry of Energy",
"20879,43191,1050,Ministry of Energy",
"20880,43040,360,Ministry of Energy",
"20880,42917,288,Ministry of Energy",
"20880,42948,36,Ministry of Energy",
"20880,43101,180,Ministry of Energy",
"20880,43132,432,Ministry of Energy",
"20880,43221,54,Ministry of Energy",
"20880,42979,108,Ministry of Energy",
"20883,42856,600,Ministry of Energy",
"20883,43160,1800,Ministry of Energy",
"20885,42917,150,Ministry of Health",
"20889,43009,207,Ministry of Energy",
"20889,42887,552,Ministry of Energy",
"20889,43160,138,Ministry of Energy",
"20891,42887,24,Ministry of Education",
"20891,43070,32,Ministry of Education",
"20894,43009,270,Ministry of Health",
"20894,42887,405,Ministry of Health",
"20894,43160,81,Ministry of Health",
"20896,43009,2252,Ministry of Energy",
"20896,42826,4504,Ministry of Energy",
"20896,42887,27024,Ministry of Energy",
"20896,42856,3378,Ministry of Energy",
"20896,43040,6756,Ministry of Energy",
"20896,42917,23646,Ministry of Energy",
"20896,42948,6756,Ministry of Energy",
"20896,43101,6756,Ministry of Energy",
"20896,43132,4504,Ministry of Energy",
"20896,43191,5630,Ministry of Energy",
"20896,43070,9008,Ministry of Energy",
"20896,43160,5630,Ministry of Energy",
"20896,43221,33780,Ministry of Energy",
"20896,42979,2252,Ministry of Energy",
"20897,42917,288,Ministry of Energy",
"20897,43132,2160,Ministry of Energy",
"20897,42979,720,Ministry of Energy",
"20898,43040,99,Ministry of Energy",
"20898,42917,1188,Ministry of Energy",
"20898,42948,198,Ministry of Energy",
"20898,43101,594,Ministry of Energy",
"20898,43132,990,Ministry of Energy",
"20898,43221,1188,Ministry of Energy",
"20898,42979,1386,Ministry of Energy",
"20899,42948,630,Ministry of Energy",
"20899,43070,1050,Ministry of Energy",
"20899,42887,630,Ministry of Energy",
"20899,42979,735,Ministry of Energy",
"20901,43070,150,Ministry of Energy",
"20901,42887,100,Ministry of Energy",
"20903,42887,7200,Ministry of Education",
"20904,43132,426,Ministry of Education",
"20904,42917,1420,Ministry of Education",
"20904,42979,852,Ministry of Education",
"20906,42856,342,Ministry of Education",
"20911,42887,854,Ministry of Energy",
"20911,43070,732,Ministry of Energy",
"20913,42856,238,Ministry of Energy",
"20913,43160,714,Ministry of Energy",
"20914,42887,10,Ministry of Health",
"20914,43070,105,Ministry of Health",
"20916,42856,3200,Ministry of Education",
"20916,42887,3840,Ministry of Education",
"20916,42826,320,Ministry of Education",
"20916,43009,960,Ministry of Education",
"20916,43191,960,Ministry of Education",
"20916,43160,1920,Ministry of Education",
"20916,43070,1920,Ministry of Education",
"20918,42917,1800,Ministry of Energy",
"20918,43101,1500,Ministry of Energy",
"20919,42887,300,Ministry of Health",
"20919,42948,200,Ministry of Health",
"20919,43070,250,Ministry of Health",
"20919,42979,400,Ministry of Health",
"20920,42917,3000,Ministry of Education",
"20921,42887,3000,Ministry of Energy",
"20924,43132,252,Ministry of Education",
"20924,42917,140,Ministry of Education",
"20924,43040,112,Ministry of Education",
"20924,42948,280,Ministry of Education",
"20924,43101,336,Ministry of Education",
"20924,43221,420,Ministry of Education",
"20924,42979,252,Ministry of Education",
"20930,43132,27615,Ministry of Health",
"20930,42917,18410,Ministry of Health",
"20930,42979,39450,Ministry of Health",
"20931,42917,310,Ministry of Health",
"20931,42826,1550,Ministry of Health",
"20931,43101,310,Ministry of Health",
"20931,43009,930,Ministry of Health",
"20931,43191,620,Ministry of Health",
"20933,42856,600,Ministry of Education",
"20933,42826,900,Ministry of Education",
"20933,43191,400,Ministry of Education",
"20933,43070,100,Ministry of Education",
"20935,43132,10,Ministry of Energy",
"20935,42917,60,Ministry of Energy",
"20935,42979,270,Ministry of Energy",
"20936,42826,300,Ministry of Energy",
"20936,43191,900,Ministry of Energy",
"20937,42917,1350,Ministry of Energy",
"20938,42887,540,Ministry of Health",
"20938,43009,240,Ministry of Health",
"20938,43160,360,Ministry of Health",
"20940,42856,156,Ministry of Health",
"20940,42826,13,Ministry of Health",
"20940,43191,390,Ministry of Health",
"20940,43070,351,Ministry of Health",
"20941,42887,324,Ministry of Health",
"20942,42887,3798,Ministry of Health",
"20942,43009,3798,Ministry of Health",
"20942,43160,2532,Ministry of Health",
"20944,43132,196,Ministry of Energy",
"20944,42917,294,Ministry of Energy",
"20944,43040,1029,Ministry of Energy",
"20944,42948,980,Ministry of Energy",
"20944,43101,294,Ministry of Energy",
"20944,43221,441,Ministry of Energy",
"20944,42979,98,Ministry of Energy",
"20945,43101,105,Ministry of Energy",
"20945,42826,156,Ministry of Energy",
"20945,42887,91,Ministry of Energy",
"20945,43009,182,Ministry of Energy",
"20945,43191,13,Ministry of Energy",
"20945,42856,330,Ministry of Energy",
"20945,43132,128,Ministry of Energy",
"20945,42917,14,Ministry of Energy",
"20945,43040,36,Ministry of Energy",
"20945,43070,72,Ministry of Energy",
"20945,43221,24,Ministry of Energy",
"20945,42948,72,Ministry of Energy",
"20945,43160,6,Ministry of Energy",
"20955,42826,13070,Ministry of Health",
"20955,42887,23526,Ministry of Health",
"20955,43070,36596,Ministry of Health",
"20955,43009,10456,Ministry of Health",
"20955,43191,36596,Ministry of Health",
"20955,43160,54894,Ministry of Health",
"20955,42856,41824,Ministry of Health",
"20957,42826,2478,Ministry of Education",
"20957,42917,236,Ministry of Education",
"20957,42887,472,Ministry of Education",
"20957,43070,354,Ministry of Education",
"20957,43009,1062,Ministry of Education",
"20957,42979,236,Ministry of Education",
"20957,43040,590,Ministry of Education",
"20957,42948,1180,Ministry of Education",
"20957,43132,590,Ministry of Education",
"20957,43191,2124,Ministry of Education",
"20957,43101,1180,Ministry of Education",
"20957,43160,1770,Ministry of Education",
"20957,43221,1770,Ministry of Education",
"20957,42856,2124,Ministry of Education",
"20970,42917,140,Ministry of Education",
"20970,43101,126,Ministry of Education",
"20981,42826,24,Ministry of Health",
"20981,43009,8,Ministry of Health",
"20981,43191,84,Ministry of Health",
"20987,42917,150,Ministry of Education",
"20987,42979,450,Ministry of Education",
"20987,43132,300,Ministry of Education",
"21005,43009,366,Ministry of Energy",
"21005,42856,795,Ministry of Energy",
"21005,42887,860,Ministry of Energy",
"21005,43221,252,Ministry of Energy",
"21005,43101,102,Ministry of Energy",
"21005,43040,165,Ministry of Energy",
"21005,43160,450,Ministry of Energy",
"21005,43132,135,Ministry of Energy",
"21005,42917,120,Ministry of Energy",
"21005,42948,312,Ministry of Energy",
"21005,43070,60,Ministry of Energy",
"21005,42979,66,Ministry of Energy",
"21005,43191,36,Ministry of Energy",
"21005,42826,3,Ministry of Energy",
"21006,43009,18,Ministry of Health",
"21006,43160,84,Ministry of Health",
"21006,42887,18,Ministry of Health",
"21010,42826,12,Ministry of Energy",
"21010,43191,40,Ministry of Energy",
"21012,42948,2010,Ministry of Energy",
"21013,42856,936,Ministry of Education",
"21013,43160,208,Ministry of Education",
"21014,43160,16200,Ministry of Energy",
"21017,42856,4200,Ministry of Energy",
"21017,43160,1800,Ministry of Energy",
"21018,43040,600,Ministry of Education",
"21018,43221,1000,Ministry of Education",
"21020,42826,84,Ministry of Health",
"21020,43191,32,Ministry of Health",
"21020,43009,36,Ministry of Health",
"21021,42948,25400,Ministry of Health",
"21021,43040,40640,Ministry of Health",
"21021,43101,30480,Ministry of Health",
"21021,43221,15240,Ministry of Health",
"21022,43070,300,Ministry of Health",
"21028,42948,900,Ministry of Health",
"21028,42887,1260,Ministry of Health",
"21028,42979,840,Ministry of Health",
"21028,43009,1160,Ministry of Health",
"21028,43132,429,Ministry of Health",
"21028,43070,715,Ministry of Health",
"21028,43160,680,Ministry of Health",
"21028,42826,360,Ministry of Health",
"21028,42856,1620,Ministry of Health",
"21028,43040,1800,Ministry of Health",
"21028,42917,300,Ministry of Health",
"21028,43101,900,Ministry of Health",
"21028,43191,540,Ministry of Health",
"21028,43221,600,Ministry of Health",
"21029,42948,1398,Ministry of Health",
"21029,43040,9786,Ministry of Health",
"21029,42917,8388,Ministry of Health",
"21029,43101,9786,Ministry of Health",
"21029,43132,1864,Ministry of Health",
"21029,43221,2796,Ministry of Health",
"21029,42979,2796,Ministry of Health",
"21031,43101,1062,Ministry of Health",
"21033,43040,42,Ministry of Health",
"21033,43132,8,Ministry of Health",
"21033,43221,60,Ministry of Health",
"21035,42826,1404,Ministry of Health",
"21035,42856,2106,Ministry of Health",
"21035,43191,2340,Ministry of Health",
"21035,43070,2106,Ministry of Health",
"21038,43040,5184,Ministry of Energy",
"21038,43221,9700,Ministry of Energy",
"21038,43101,25248,Ministry of Energy",
"21038,42856,16592,Ministry of Energy",
"21038,42979,11226,Ministry of Energy",
"21038,43132,21564,Ministry of Energy",
"21038,42948,13140,Ministry of Energy",
"21038,43009,35154,Ministry of Energy",
"21038,42887,30720,Ministry of Energy",
"21038,43070,7368,Ministry of Energy",
"21038,42826,5135,Ministry of Education",
"21038,42856,15405,Ministry of Education",
"21038,43191,16432,Ministry of Education",
"21038,43009,6162,Ministry of Education",
"21038,43070,14378,Ministry of Education",
"21038,43160,18486,Ministry of Education",
"21038,42887,5135,Ministry of Education",
"21038,42826,1378,Ministry of Energy",
"21038,43191,3870,Ministry of Energy",
"21038,42917,2228,Ministry of Energy",
"21038,43160,1645,Ministry of Energy",
"21039,42948,2328,Ministry of Energy",
"21039,43040,776,Ministry of Energy",
"21039,42917,8148,Ministry of Energy",
"21039,43101,3880,Ministry of Energy",
"21039,43132,3492,Ministry of Energy",
"21039,43221,776,Ministry of Energy",
"21039,42979,3104,Ministry of Energy",
"21041,42917,81,Ministry of Energy",
"21041,43132,54,Ministry of Energy",
"21041,42979,9,Ministry of Energy",
"21042,43009,387,Ministry of Health",
"21042,42826,344,Ministry of Health",
"21042,42887,129,Ministry of Health",
"21042,42856,172,Ministry of Health",
"21042,43191,344,Ministry of Health",
"21042,43070,688,Ministry of Health",
"21042,43160,301,Ministry of Health",
"21043,43040,30,Ministry of Education",
"21043,42917,150,Ministry of Education",
"21043,42948,100,Ministry of Education",
"21043,43101,100,Ministry of Education",
"21043,43132,10,Ministry of Education",
"21043,43221,35,Ministry of Education",
"21043,42979,40,Ministry of Education",
"21044,42887,696,Ministry of Energy",
"21044,42948,714,Ministry of Energy",
"21044,43070,1044,Ministry of Energy",
"21044,43101,219,Ministry of Energy",
"21044,43009,660,Ministry of Energy",
"21044,42856,528,Ministry of Energy",
"21044,42979,660,Ministry of Energy",
"21044,42826,696,Ministry of Energy",
"21044,43040,290,Ministry of Energy",
"21044,42917,290,Ministry of Energy",
"21044,43132,522,Ministry of Energy",
"21044,43191,87,Ministry of Energy",
"21044,43160,87,Ministry of Energy",
"21044,43221,522,Ministry of Energy",
"21045,42856,5337,Ministry of Energy",
"21045,43040,5930,Ministry of Energy",
"21045,43132,16011,Ministry of Energy",
"21045,43160,3558,Ministry of Energy",
"21045,43221,7116,Ministry of Energy",
"21053,42887,25,Ministry of Energy",
"21053,43070,90,Ministry of Energy",
"21059,42948,136,Ministry of Energy",
"21059,43101,34,Ministry of Energy",
"21059,42917,340,Ministry of Energy",
"21059,42856,102,Ministry of Energy",
"21059,42826,204,Ministry of Energy",
"21059,43040,170,Ministry of Energy",
"21059,43132,17,Ministry of Energy",
"21059,43191,102,Ministry of Energy",
"21059,43009,136,Ministry of Energy",
"21059,43160,255,Ministry of Energy",
"21059,43070,272,Ministry of Energy",
"21059,43221,170,Ministry of Energy",
"21059,42887,408,Ministry of Energy",
"21059,42979,255,Ministry of Energy",
"21060,42856,1104,Ministry of Education",
"21060,42826,552,Ministry of Education",
"21060,43191,2208,Ministry of Education",
"21060,43009,184,Ministry of Education",
"21060,43160,2208,Ministry of Education",
"21060,43070,368,Ministry of Education",
"21060,42887,1840,Ministry of Education",
"21062,42887,28,Ministry of Energy",
"21062,42856,140,Ministry of Energy",
"21062,42826,21,Ministry of Energy",
"21062,43191,126,Ministry of Energy",
"21062,43009,98,Ministry of Energy",
"21062,43160,21,Ministry of Energy",
"21062,43070,14,Ministry of Energy",
"21064,42948,176,Ministry of Health",
"21064,43101,4752,Ministry of Health",
"21064,42917,880,Ministry of Health",
"21064,43040,528,Ministry of Health",
"21064,43132,4752,Ministry of Health",
"21064,43221,1056,Ministry of Health",
"21064,42979,1584,Ministry of Health",
"21065,42856,200,Ministry of Education",
"21065,43160,700,Ministry of Education",
"21067,43070,200,Ministry of Health",
"21068,42948,4488,Ministry of Health",
"21068,42917,1122,Ministry of Health",
"21068,43040,1870,Ministry of Health",
"21068,43101,5610,Ministry of Health",
"21068,43132,1496,Ministry of Health",
"21068,43221,3366,Ministry of Health",
"21068,42979,1122,Ministry of Health",
"21070,42948,284,Ministry of Housing",
"21070,42917,1704,Ministry of Housing",
"21070,43040,639,Ministry of Housing",
"21070,43101,1917,Ministry of Housing",
"21070,43132,1065,Ministry of Housing",
"21070,43221,1704,Ministry of Housing",
"21070,42979,142,Ministry of Housing",
"21071,43040,72,Ministry of Energy",
"21071,43221,24,Ministry of Energy",
"21075,42856,12192,Ministry of Health",
"21075,43160,4572,Ministry of Health",
"21078,42948,63,Ministry of Health",
"21078,42917,9,Ministry of Health",
"21078,43040,54,Ministry of Health",
"21078,43101,18,Ministry of Health",
"21078,43132,30,Ministry of Health",
"21078,43221,24,Ministry of Health",
"21078,42979,30,Ministry of Health",
"21079,42917,6678,Ministry of Health",
"21079,43132,8904,Ministry of Health",
"21079,42979,8904,Ministry of Health",
"21080,42948,1995,Ministry of Health",
"21080,43040,3591,Ministry of Health",
"21080,43101,2394,Ministry of Health",
"21080,43221,1197,Ministry of Health",
"21081,42948,1800,Ministry of Health",
"21081,42979,1800,Ministry of Health",
"21083,42887,3000,Ministry of Education",
"21083,43009,900,Ministry of Education",
"21083,43160,2700,Ministry of Education",
"21084,42948,960,Ministry of Energy",
"21084,42917,5760,Ministry of Energy",
"21084,43040,3840,Ministry of Energy",
"21084,43101,17280,Ministry of Energy",
"21084,43132,5760,Ministry of Energy",
"21084,43221,28800,Ministry of Energy",
"21084,42979,3840,Ministry of Energy",
"21086,42887,4086,Ministry of Energy",
"21086,43070,5448,Ministry of Energy",
"21088,42917,33,Ministry of Education",
"21088,43132,154,Ministry of Education",
"21088,42979,77,Ministry of Education",
"21089,42948,20,Ministry of Education",
"21089,42917,6,Ministry of Education",
"21089,43040,28,Ministry of Education",
"21089,43101,20,Ministry of Education",
"21089,43132,18,Ministry of Education",
"21089,43221,42,Ministry of Education",
"21089,42979,12,Ministry of Education",
"21090,42948,624,Ministry of Energy",
"21090,42887,728,Ministry of Energy",
"21090,43070,312,Ministry of Energy",
"21090,42979,728,Ministry of Energy",
"21092,42948,8,Ministry of Health",
"21092,42917,16,Ministry of Health",
"21092,43040,12,Ministry of Health",
"21092,43101,3,Ministry of Health",
"21092,43132,18,Ministry of Health",
"21092,43221,14,Ministry of Health",
"21092,42979,12,Ministry of Health",
"21094,42887,340,Ministry of Health",
"21094,43070,272,Ministry of Health",
"21096,42948,24128,Ministry of Energy",
"21096,42917,7540,Ministry of Energy",
"21096,42826,13572,Ministry of Energy",
"21096,42887,24128,Ministry of Energy",
"21096,42856,24128,Ministry of Energy",
"21096,43040,10556,Ministry of Energy",
"21096,43101,27144,Ministry of Energy",
"21096,43132,10556,Ministry of Energy",
"21096,43191,3016,Ministry of Energy",
"21096,43009,22620,Ministry of Energy",
"21096,43070,1508,Ministry of Energy",
"21096,43160,18096,Ministry of Energy",
"21096,43221,15080,Ministry of Energy",
"21096,42979,40716,Ministry of Energy",
"21099,42948,9015,Ministry of Education",
"21099,42917,4808,Ministry of Education",
"21099,42826,4808,Ministry of Education",
"21099,42887,2404,Ministry of Education",
"21099,42856,3005,Ministry of Education",
"21099,43040,601,Ministry of Education",
"21099,43101,3606,Ministry of Education",
"21099,43132,1803,Ministry of Education",
"21099,43191,601,Ministry of Education",
"21099,43009,1202,Ministry of Education",
"21099,43070,2404,Ministry of Education",
"21099,43160,3606,Ministry of Education",
"21099,43221,12621,Ministry of Education",
"21099,42979,3606,Ministry of Education",
"21100,42979,3178,Ministry of Education",
"21100,42917,454,Ministry of Education",
"21100,43132,681,Ministry of Education",
